"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Alchevsk",106550,"Luhansk PR","","","","19 March 2022 01h51 UTC",48.4672,38.7983
"Antonov Airport",0,"Russia","32","See Battle of Antonov Airport","https://web.archive.org/web/20220225171132/https://www.bbc.com/news/live/world-europe-60517447","19 March 2022 01h51 UTC",50.5911,30.2074
"Apostolove",16356,"Ukraine","","","","19 March 2022 01h51 UTC",47.6595,33.717
"Arkhanhelske",1769,"Russia","25","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","19 March 2022 01h51 UTC",47.4297,33.4081
"Bakhmut",72310,"Ukraine","9","","https://web.archive.org/web/20150923150638/http://artemrada.gov.ua/uk/news/10260","19 March 2022 01h51 UTC",48.6044,38.0067
"Balakliia",26921,"Contested","21","","https://web.archive.org/web/20220226132929/https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/","19 March 2022 01h51 UTC",49.4564,36.8389
"Bar",15563,"Ukraine","","","","19 March 2022 01h51 UTC",49.0781,27.6831
"Barvinkove",8110,"Ukraine","","","","19 March 2022 01h51 UTC",48.9067,37.0131
"Berdiansk",107928,"Russia","63","See Battle of Berdiansk","https://web.archive.org/web/20220227214850/https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-27-22/h_9b36acb1e0881aa346e1e1edec93e14f","19 March 2022 01h51 UTC",46.7598,36.7845
"Berdychiv",73999,"Ukraine","","","","19 March 2022 01h51 UTC",49.8919,28.6
"Berehove",23485,"Ukraine","","","","19 March 2022 01h51 UTC",48.2025,22.6375
"Berezhany",17316,"Ukraine","","","","19 March 2022 01h51 UTC",49.45,24.9333
"Beryslav",12123,"Contested","26","","https://t.me/dsszzi_official/2337","19 March 2022 01h51 UTC",46.8333,33.4167
"Bershad",12446,"Ukraine","","","","19 March 2022 01h51 UTC",48.3728,29.5325
"Bila Tserkva",208737,"Ukraine","","","","19 March 2022 01h51 UTC",49.7956,30.1167
"Bile",100,"Russia","","See Attack on Snake Island","","19 March 2022 01h51 UTC",45.255,30.204167
"Bilhorod-Dnistrovskyi",48197,"Ukraine","","","","19 March 2022 01h51 UTC",46.1833,30.3333
