Name,Population,Held by,source,More information,sourceLink,update,lat,lng
Apostolove,"16,356",Ukraine,,,,28 February 2022 19h32 (UTC),47.6595,33.717
Bakhmut,"72,310",Ukraine,9,See War in Donbas,https://artemrada.gov.ua/news/10260,28 February 2022 19h32 (UTC),48.6044,38.0067
Balakliia,"26,921",Contested,17,,https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/?,28 February 2022 19h32 (UTC),49.4564,36.8389
Bar,"15,563",Ukraine,,,,28 February 2022 19h32 (UTC),49.0781,27.6831
Barvinkove,"8,110",Ukraine,,,,28 February 2022 19h32 (UTC),48.9067,37.0131
Berdiansk,"107,928",Russia,43,,https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-27-22/h_9b36acb1e0881aa346e1e1edec93e14f,28 February 2022 19h32 (UTC),46.7598,36.7845
Berdychiv,"73,999",Ukraine,,,,28 February 2022 19h32 (UTC),49.8919,28.6
Berehove,"23,485",Ukraine,,,,28 February 2022 19h32 (UTC),48.2025,22.6375
Berezhany,"17,316",Ukraine,,,,28 February 2022 19h32 (UTC),49.45,24.9333
Bershad,"12,446",Ukraine,,,,28 February 2022 19h32 (UTC),48.3728,29.5325
Bila Tserkva,"208,737",Ukraine,,,,28 February 2022 19h32 (UTC),49.7956,30.1167
Bile,100,Russia,,See Attack on Snake Island,,28 February 2022 19h32 (UTC),40.255,30.984
Bilhorod-Dnistrovskyi,"48,197",Ukraine,,,,28 February 2022 19h32 (UTC),46.1833,30.3333
Bilovodsk,"7,771",Contested,30,,https://www.unian.ua/war/syevyerodoneck-lisichansk-ta-rubizhne-pid-kontrolem-ukrajini-luganska-oda-novini-donbasu-11718511.html,28 February 2022 19h32 (UTC),49.1992,39.5756
Bohodukhiv,"15,797",Contested,15,,/wiki/General_Staff_of_the_Ukrainian_Armed_Forces,28 February 2022 19h32 (UTC),50.1608,35.5164
Brody,"23,335",Ukraine,,,,28 February 2022 19h32 (UTC),50.0781,25.1542
Burshtyn,"14,866",Ukraine,,,,28 February 2022 19h32 (UTC),49.26,24.635
Cherkasy,"272,651",Ukraine,,,,28 February 2022 19h32 (UTC),49.4444,32.0597
Chernihiv,"285,234",Contested,1,See Battle of Chernihiv,https://gazeta.ua/articles/np/_putin-cinichno-obduriv-okupanti-prodovzhuyut-zdavatisya-v-polon-zsu/1072481,28 February 2022 19h32 (UTC),51.4939,31.2947
Chernivtsi,"265,471",Ukraine,,,,28 February 2022 19h32 (UTC),48.2908,25.9344
Chernobyl,500,Russia,23,See Battle of Chernobyl,https://www.cnn.com/2022/02/24/europe/ukraine-chernobyl-russia-intl/index.html,28 February 2022 19h32 (UTC),51.2705,30.2196
Chervonohrad,"65,180",Ukraine,,,,28 February 2022 19h32 (UTC),50.3911,24.2351
Chortkiv,"28,393",Ukraine,,,,28 February 2022 19h32 (UTC),49.0167,25.8
Derhachi,"17,433",Contested,15,,/wiki/General_Staff_of_the_Ukrainian_Armed_Forces,28 February 2022 19h32 (UTC),50.1066,36.1211
Dnipro,"980,948",Ukraine,,,,28 February 2022 19h32 (UTC),48.45,34.9833
Dolyna,"20,641",Ukraine,,,,28 February 2022 19h32 (UTC),48.9703,24.0108
Donetsk,"905,364",Donetsk PR,10,See War in Donbas,https://www.reuters.com/world/europe/hope-fear-uncertainty-donetsk-streets-after-putin-move-2022-02-22/,28 February 2022 19h32 (UTC),48.0089,37.8042
Drohobych,"74,610",Ukraine,,,,28 February 2022 19h32 (UTC),49.35,23.5
Dubno,"37,257",Ukraine,,,,28 February 2022 19h32 (UTC),50.3931,25.735
Haisyn,"25,883",Ukraine,,,,28 February 2022 19h32 (UTC),48.8094,29.3906
Hnivan,"12,314",Ukraine,,,,28 February 2022 19h32 (UTC),49.0833,28.35
Horlivka,"241,106",Donetsk PR,,See War in Donbas,,28 February 2022 19h32 (UTC),48.3336,38.0925
Horodnia,"11,710",Russia,4,,https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/,28 February 2022 19h32 (UTC),51.8833,31.5833
Ivankiv,"10,563",Contested,24,See Battle of Ivankiv,https://www.ukrinform.ua/rubric-ato/3412450-najzapeklisi-boi-tocatsa-poblizu-mista-ivankiv-na-kiivsini-arestovic.html,28 February 2022 19h32 (UTC),50.9333,29.9
Ivano-Frankivsk,"237,855",Ukraine,,,,28 February 2022 19h32 (UTC),48.9228,24.7106
Izium,"45,884",Ukraine,,,,28 February 2022 19h32 (UTC),49.2238,37.2915
Izmail,"70,731",Ukraine,,,,28 February 2022 19h32 (UTC),45.35,28.8333
Kalynivka,"18,695",Ukraine,,,,28 February 2022 19h32 (UTC),49.4472,28.5231
Kalush,"65,814",Ukraine,,,,28 February 2022 19h32 (UTC),49.0442,24.3597
Kamianets-Podilskyi,"97,908",Ukraine,,,,28 February 2022 19h32 (UTC),48.6806,26.5806
Kamianka,"11,146",Ukraine,,,,28 February 2022 19h32 (UTC),49.0333,32.1
Kamianske,"229,794",Ukraine,,,,28 February 2022 19h32 (UTC),48.5076,34.6132
Kaniv,"23,503",Ukraine,,,,28 February 2022 19h32 (UTC),49.7447,31.4558
Kerch,"149,566",Russia,8,See Annexation of Crimea by the Russian Federation,https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/,28 February 2022 19h32 (UTC),45.3573,36.4683
Kharkiv,"1,433,886",Ukraine,18,See Battle of Kharkiv (2022),https://www.npr.org/2022/02/27/1083353689/russian-troops-enter-ukraines-2nd-largest-city-kharkiv-as-invasion-continues,28 February 2022 19h32 (UTC),50,36.2292
