city,city_ascii,Lat,Lon,admin_name
Ahrarne,Ahrarne,45.0186,34.0544,"Krym, Avtonomna Respublika"
Alchevsk,Alchevsk,48.4672,38.7983,Luhans’ka Oblast’
Alushta,Alushta,44.6672,34.3978,"Krym, Avtonomna Respublika"
Amvrosiivka,Amvrosiivka,47.7958,38.4801,Donets’ka Oblast’
Ananiv,Ananiv,47.7225,29.96,Odes’ka Oblast’
Andrushivka,Andrushivka,50.0167,29.0167,Zhytomyrs’ka Oblast’
Antonov Airport,Antonov Airport,50.5911,30.2074,
Antratsyt,Antratsyt,48.1167,39.0833,Luhans’ka Oblast’
Apostolove,Apostolove,47.6595,33.717,Dnipropetrovs’ka Oblast’
Arkhanhelske,Arkhanhelske,47.4297,33.4081,
Artemivsk,Artemivsk,48.4403,38.7422,Luhans’ka Oblast’
Askania-Nova,Askania-Nova,46.4659,33.9817,
Avdiivka,Avdiivka,48.1333,37.75,Donets’ka Oblast’
Bakhchysarai,Bakhchysarai,44.7528,33.8608,"Krym, Avtonomna Respublika"
Bakhmach,Bakhmach,51.183056,32.829722,
Bakhmut,Bakhmut,48.6044,38.0067,Donets’ka Oblast’
Balabyne,Balabyne,47.735,35.2142,Zaporiz’ka Oblast’
Balakliia,Balakliia,49.4564,36.8389,Kharkivs’ka Oblast’
Balta,Balta,47.9361,29.6225,Odes’ka Oblast’
Bar,Bar,49.0781,27.6831,Vinnyts’ka Oblast’
Baranivka,Baranivka,50.3,27.6667,Zhytomyrs’ka Oblast’
Barvynkove,Barvynkove,48.9067,37.0131,Kharkivs’ka Oblast’
Baryshivka,Baryshivka,50.3703,31.3286,Kyyivs’ka Oblast’
Baturyn,Baturyn,51.3413,32.8798,
Berdiansk,Berdiansk,46.7598,36.7845,Zaporiz’ka Oblast’
Berdychiv,Berdychiv,49.8919,28.6,Zhytomyrs’ka Oblast’
Berehove,Berehove,48.2025,22.6375,Zakarpats’ka Oblast’
Berezan,Berezan,50.3197,31.47,Kyyivs’ka Oblast’
Berezhany,Berezhany,49.45,24.9333,
Berezivka,Berezivka,47.2039,30.9125,Odes’ka Oblast’
Bershad,Bershad,48.3728,29.5325,Vinnyts’ka Oblast’
Beryslav,Beryslav,46.8333,33.4167,Khersons’ka Oblast’
Bezliudivka,Bezliudivka,49.8694,36.2719,Kharkivs’ka Oblast’
Bila Tserkva,Bila Tserkva,49.7956,30.1167,Kyyivs’ka Oblast’
Bile,Bile,45.255,30.204167,Odes’ka Oblast’
Bilenke,Bilenke,48.7664,37.6314,Donets’ka Oblast’
Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi,46.1833,30.3333,Odes’ka Oblast’
Bilmak,Bilmak,47.3589,36.65,Zaporiz’ka Oblast’
Bilohirsk,Bilohirsk,45.0544,34.6022,"Krym, Avtonomna Respublika"
Bilohorodka,Bilohorodka,50.4,30.2167,Kyyivs’ka Oblast’
Bilokurakyne,Bilokurakyne,49.5167,38.7167,Luhans’ka Oblast’
Bilopillya,Bilopillya,51.1532,34.3025,Sums’ka Oblast’
Bilovodsk,Bilovodsk,49.1992,39.5756,Luhans’ka Oblast’
Bilozerka,Bilozerka,46.6333,32.4333,Khersons’ka Oblast’
Blahovishchenske,Blahovishchenske,48.3197,30.2353,Kirovohrads’ka Oblast’
Bobrovytsia,Bobrovytsia,50.7333,31.3833,Chernihivs’ka Oblast’
Bobrynets,Bobrynets,48.0578,32.1581,Kirovohrads’ka Oblast’
Bohdanivka,Bohdanivka,48.5015,36.11,Dnipropetrovs’ka Oblast’
Bohodukhiv,Bohodukhiv,50.1608,35.5164,Kharkivs’ka Oblast’
Bohorodchany,Bohorodchany,48.8,24.5333,Ivano-Frankivs’ka Oblast’
Bolekhiv,Bolekhiv,49.0669,23.8514,Ivano-Frankivs’ka Oblast’
Bolhrad,Bolhrad,45.6855,28.6134,Odes’ka Oblast’
Borodyanka,Borodyanka,50.6439,29.9339,Kyyivs’ka Oblast’
Borova,Borova,50.1733,30.1039,Kyyivs’ka Oblast’
Boryslav,Boryslav,49.2881,23.4267,L’vivs’ka Oblast’
Boryspil,Boryspil,50.35,30.95,Kyyivs’ka Oblast’
Borzna,Borzna,51.2333,32.4167,Chernihivs’ka Oblast’
Boyarka,Boyarka,50.3292,30.2886,Kyyivs’ka Oblast’
Bratske,Bratske,47.8636,31.5781,Mykolayivs’ka Oblast’
Bratslav,Bratslav,48.8147,28.9447,Vinnyts’ka Oblast’
Brianka,Brianka,48.5133,38.6431,Luhans’ka Oblast’
Brody,Brody,50.0781,25.1542,L’vivs’ka Oblast’
Broshniv-Osada,Broshniv-Osada,48.9994,24.1814,Ivano-Frankivs’ka Oblast’
Brovary,Brovary,50.5114,30.7903,Kyyivs’ka Oblast’
Bryukhovychi,Bryukhovychi,49.9,23.9436,L’vivs’ka Oblast’
Bucha,Bucha,50.5464,30.235,Kyyivs’ka Oblast’
Buchach,Buchach,49.0647,25.3872,Ternopil’s’ka Oblast’
Burshtyn,Burshtyn,49.26,24.635,Ivano-Frankivs’ka Oblast’
Bushtyno,Bushtyno,48.0503,23.4894,Zakarpats’ka Oblast’
Busk,Busk,49.9667,24.6167,L’vivs’ka Oblast’
Buzova,Buzova,50.4212,30.0448,
Chaplynka,Chaplynka,46.3618,33.5327,
Chechelnyk,Chechelnyk,48.2122,29.3622,Vinnyts’ka Oblast’
Chemerivtsi,Chemerivtsi,49,26.3667,Khmel’nyts’ka Oblast’
Cherkasy,Cherkasy,49.4444,32.0597,Cherkas’ka Oblast’
Chernihiv,Chernihiv,51.4939,31.2947,Chernihivs’ka Oblast’
Chernihivka,Chernihivka,47.1942,36.2023,Zaporiz’ka Oblast’
Chernivtsi,Chernivtsi,48.2908,25.9344,Chernivets’ka Oblast’
Chernobyl,Chernobyl,51.2705,30.2196,NA
Chervonohrad,Chervonohrad,50.3911,24.2351,
Chervonohryhorivka,Chervonohryhorivka,47.6233,34.5309,Dnipropetrovs’ka Oblast’
Chkalovske,Chkalovske,49.7134,36.9265,
Chop,Chop,48.4333,22.2,Zakarpats’ka Oblast’
Chornomorsk,Chornomorsk,46.3017,30.6569,Odes’ka Oblast’
Chortkiv,Chortkiv,49.0167,25.8,Ternopil’s’ka Oblast’
Chudniv,Chudniv,50.0528,28.0969,Zhytomyrs’ka Oblast’
Chuhuiv,Chuhuiv,49.8353,36.6756,Kharkivs’ka Oblast’
Chulakivka ,Chulakivka ,46.3601,32.3523,
Chyhyryn,Chyhyryn,49.0833,32.6667,Cherkas’ka Oblast’
Chynadiyovo,Chynadiyovo,48.4833,22.8333,Zakarpats’ka Oblast’
Debaltseve,Debaltseve,48.3341,38.4062,
Deliatyn,Deliatyn,48.5286,24.6236,Ivano-Frankivs’ka Oblast’
Derhachi,Derhachi,50.1066,36.1211,
Dnipro,Dnipro,48.45,34.9833,Dnipropetrovs’ka Oblast’
Dniprorudne,Dniprorudne,47.3855,34.9879,Zaporiz’ka Oblast’
Dniprovske,Dniprovske,48.5953,34.4207,Dnipropetrovs’ka Oblast’
Dobroslav,Dobroslav,46.82,30.945,Odes’ka Oblast’
Dobrotvir,Dobrotvir,50.2056,24.3864,L’vivs’ka Oblast’
Dobrovelychkivka,Dobrovelychkivka,48.35,31.1667,Kirovohrads’ka Oblast’
Dolyna,Dolyna,48.9703,24.0108,Ivano-Frankivs’ka Oblast’
Dolynska,Dolynska,48.1111,32.7648,Kirovohrads’ka Oblast’
Donetsk,Donetsk,48.0089,37.8042,Donets’ka Oblast’
Dovhe,Dovhe,48.3675,23.2869,Zakarpats’ka Oblast’
Dovzhansk,Dovzhansk,48.0846,39.6516,Luhans’ka Oblast’
Drabiv,Drabiv,49.9603,32.1481,Cherkas’ka Oblast’
Drohobych,Drohobych,49.35,23.5,L’vivs’ka Oblast’
Druzhkivka,Druzhkivka,48.6203,37.5278,Donets’ka Oblast’
Dubno,Dubno,50.3931,25.735,Rivnens’ka Oblast’
Dubove,Dubove,48.1781,23.8863,Zakarpats’ka Oblast’
Dubrovytsya,Dubrovytsya,51.5667,26.5667,Rivnens’ka Oblast’
Dykanka,Dykanka,49.8222,34.5341,Poltavs’ka Oblast’
Dymer,Dymer,50.7872,30.3117,Kyyivs’ka Oblast’
Dzhankoi,Dzhankoi,45.7086,34.3933,"Krym, Avtonomna Respublika"
Enerhodar,Enerhodar,47.4989,34.6558,Zaporiz’ka Oblast’
Fastiv,Fastiv,50.0747,29.9181,Kyyivs’ka Oblast’
Fontanka,Fontanka,46.5644,30.8586,Odes’ka Oblast’
Haisyn,Haisyn,48.8094,29.3906,Vinnyts’ka Oblast’
Halych,Halych,49.1128,24.7217,Ivano-Frankivs’ka Oblast’
Henichesk,Henichesk,46.1769,34.7989,Khersons’ka Oblast’
Hirnyk,Hirnyk,48.05,37.3667,Donets’ka Oblast’
Hlukhiv,Hlukhiv,51.6765,33.9078,Sums’ka Oblast’
Hnivan,Hnivan,49.0833,28.35,Vinnyts’ka Oblast’
Hola Prystan,Hola Prystan,46.5167,32.5167,Khersons’ka Oblast’
Holubivske,Holubivske,48.6375,38.6433,Luhans’ka Oblast’
Horenka,Horenka,50.5569,30.3175,Kyyivs’ka Oblast’
Horishni Plavni,Horishni Plavni,49.0107,33.6562,Poltavs’ka Oblast’
Horlivka,Horlivka,48.3336,38.0925,Donets’ka Oblast’
Hornostaivka,Hornostaivka,47.007,33.728,Khersons’ka Oblast’
Horodenka,Horodenka,48.6675,25.5003,Ivano-Frankivs’ka Oblast’
Horodnia,Horodnia,51.8833,31.5833,Chernihivs’ka Oblast’
Horodnytsia,Horodnytsia,50.8094,27.3183,Zhytomyrs’ka Oblast’
Horodok,Horodok,49.1667,26.5667,Khmel’nyts’ka Oblast’
Horodok,Horodok,49.7822,23.6436,L’vivs’ka Oblast’
Horodyshche,Horodyshche,49.2925,31.4581,Cherkas’ka Oblast’
Horokhiv,Horokhiv,50.4994,24.765,Volyns’ka Oblast’
Horonda,Horonda,48.3786,22.5681,Zakarpats’ka Oblast’
Hoshcha,Hoshcha,50.5986,26.6753,Rivnens’ka Oblast’
Hostomel,Hostomel,50.5692,30.2653,Kyyivs’ka Oblast’
Hostomel Airport,Hostomel Airport,50.5911,30.2074,
Hrebinka,Hrebinka,50.118,32.4396,Poltavs’ka Oblast’
Hrebinky,Hrebinky,49.9564,30.1714,Kyyivs’ka Oblast’
Hubynykha,Hubynykha,48.8084,35.2535,Dnipropetrovs’ka Oblast’
Hulyaypole,Hulyaypole,47.6644,36.2632,Zaporiz’ka Oblast’
Hurzuf,Hurzuf,44.5528,34.2875,"Krym, Avtonomna Respublika"
Hvardiys’ke,Hvardiys'ke,48.7328,35.311,Dnipropetrovs’ka Oblast’
Ichnia,Ichnia,50.85,32.4,Chernihivs’ka Oblast’
Ilarionove,Ilarionove,48.4059,35.2734,Dnipropetrovs’ka Oblast’
Illintsi,Illintsi,49.1,29.2,Vinnyts’ka Oblast’
Inkerman,Inkerman,44.6142,33.6083,"Sevastopol’, Misto"
Irpin,Irpin,50.5167,30.25,Kyyivs’ka Oblast’
Irshansk,Irshansk,50.7167,28.7167,Zhytomyrs’ka Oblast’
Irshava,Irshava,48.3172,23.0375,Zakarpats’ka Oblast’
Isliam-Terek,Isliam-Terek,45.2256,35.2033,"Krym, Avtonomna Respublika"
Ivanivka,Ivanivka,48.2325,38.9525,Luhans’ka Oblast’
Ivankiv,Ivankiv,50.9333,29.9,Kyyivs’ka Oblast’
Ivano-Frankivsk,Ivano-Frankivsk,48.9228,24.7106,Ivano-Frankivs’ka Oblast’
Ivanychi,Ivanychi,50.6419,24.3606,Volyns’ka Oblast’
Iziaslav,Iziaslav,50.1167,26.8,Khmel’nyts’ka Oblast’
Izium,Izium,49.2238,37.2915,Kharkivs’ka Oblast’
Izmail,Izmail,45.35,28.8333,Odes’ka Oblast’
Kaharlyk,Kaharlyk,49.8522,30.8092,Kyyivs’ka Oblast’
Kakhovka,Kakhovka,46.8,33.4667,Khersons’ka Oblast’
Kalanchak,Kalanchak,46.255,33.2906,Khersons’ka Oblast’
Kalmiuske,Kalmiuske,47.6667,38.0667,Donets’ka Oblast’
Kalush,Kalush,49.0442,24.3597,Ivano-Frankivs’ka Oblast’
Kalynivka,Kalynivka,49.4472,28.5231,Vinnyts’ka Oblast’
Kamianets-Podilskyi,Kamianets-Podilskyi,48.6806,26.5806,Khmel’nyts’ka Oblast’
Kamianka,Kamianka,49.0333,32.1,
Kamianka-Dniprovska,Kamianka-Dniprovska,47.4792,34.4232,Zaporiz’ka Oblast’
Kamianske,Kamianske,48.5076,34.6132,Dnipropetrovs’ka Oblast’
Kamin-Kashyrskyi,Kamin-Kashyrskyi,51.6242,24.9606,Volyns’ka Oblast’
Kaniv,Kaniv,49.7447,31.4558,Cherkas’ka Oblast’
Karnaukhivka,Karnaukhivka,48.4698,34.7376,Dnipropetrovs’ka Oblast’
Kehychivka,Kehychivka,49.2858,35.7622,Kharkivs’ka Oblast’
Kerch,Kerch,45.3573,36.4683,
Kharkiv,Kharkiv,50,36.2292,Kharkivs’ka Oblast’
Khartsyzk,Khartsyzk,48.0333,38.15,Donets’ka Oblast’
Kherson,Kherson,46.6333,32.6,Khersons’ka Oblast’
Khmelnytskyi,Khmelnytskyi,49.42,27,Khmel’nyts’ka Oblast’
Khmilnyk,Khmilnyk,49.55,27.9667,Vinnyts’ka Oblast’
Khodoriv,Khodoriv,49.41,24.3094,L’vivs’ka Oblast’
Khoroshiv,Khoroshiv,50.6,28.45,Zhytomyrs’ka Oblast’
Khotyn,Khotyn,48.5078,26.486,Chernivets’ka Oblast’
Khrestivka,Khrestivka,48.15,38.3667,Donets’ka Oblast’
Khrustalnyi,Khrustalnyi,48.1214,38.9453,Luhans’ka Oblast’
Khrystynivka,Khrystynivka,48.8333,29.9667,Cherkas’ka Oblast’
Khust,Khust,48.1814,23.2978,Zakarpats’ka Oblast’
Kivertsi,Kivertsi,50.8331,25.4614,Volyns’ka Oblast’
Klavdiyevo-Tarasove,Klavdiyevo-Tarasove,50.5825,30.0053,Kyyivs’ka Oblast’
Kobeliaky,Kobeliaky,49.1474,34.1993,Poltavs’ka Oblast’
Kolochava,Kolochava,48.4266,23.6984,Zakarpats’ka Oblast’
Kolomyia,Kolomyia,48.5167,25.0333,Ivano-Frankivs’ka Oblast’
Komyshuvakha,Komyshuvakha,47.7155,35.5241,Zaporiz’ka Oblast’
Konotop,Konotop,51.2369,33.2027,Sums’ka Oblast’
Koreiz,Koreiz,44.4331,34.0872,"Krym, Avtonomna Respublika"
Koriukivka,Koriukivka,51.7833,32.25,Chernihivs’ka Oblast’
Korolevo,Korolevo,48.15,23.1333,Zakarpats’ka Oblast’
Korop,Korop,51.5661,32.9508,Chernihivs’ka Oblast’
Korosten,Korosten,50.95,28.65,Zhytomyrs’ka Oblast’
Korostyshiv,Korostyshiv,50.3186,29.0592,Zhytomyrs’ka Oblast’
Korsun-Shevchenkivskyi,Korsun-Shevchenkivskyi,49.4261,31.2806,Cherkas’ka Oblast’
Kosiv,Kosiv,48.315,25.0953,Ivano-Frankivs’ka Oblast’
Kostiantynivka,Kostiantynivka,48.5333,37.7167,Donets’ka Oblast’
Kostopil,Kostopil,50.8833,26.4431,Rivnens’ka Oblast’
Kotsyubyns’ke,Kotsyubyns'ke,50.4883,30.3331,"Kyyiv, Misto"
Kovel,Kovel,51.2167,24.7167,Volyns’ka Oblast’
Kozelets,Kozelets,50.9164,31.1147,Chernihivs’ka Oblast’
Koziatyn,Koziatyn,49.7167,28.8333,Vinnyts’ka Oblast’
Kozova,Kozova,49.4318,25.1544,Ternopil’s’ka Oblast’
Kramatorsk,Kramatorsk,48.7208,37.5556,Donets’ka Oblast’
Krasiatychi,Krasiatychi,51.076389,29.6375,
Krasnodon,Krasnodon,48.3,39.7333,Luhans’ka Oblast’
Krasnohrad,Krasnohrad,49.373,35.4614,
Krasnoilsk,Krasnoilsk,48.0167,25.5833,Chernivets’ka Oblast’
Krasnokutsk,Krasnokutsk,50.0567,35.1492,Kharkivs’ka Oblast’
Krasnopillya,Krasnopillya,50.7732,35.2717,Sums’ka Oblast’
Krasnyi Luch,Krasnyi Luch,48.1406,38.9367,
Kremenchuk,Kremenchuk,49.0775,33.4239,Poltavs’ka Oblast’
Kremenets,Kremenets,50.1081,25.7275,Ternopil’s’ka Oblast’
Kreminna,Kreminna,49.0422,38.2177,
Krolevets,Krolevets,51.5489,33.386,
Kropyvnytskyi,Kropyvnytskyi,48.5103,32.2667,Kirovohrads’ka Oblast’
Kryve Ozero,Kryve Ozero,47.9333,30.3333,Mykolayivs’ka Oblast’
Kryvyi Rih,Kryvyi Rih,47.9086,33.3433,Dnipropetrovs’ka Oblast’
Kryzhopil,Kryzhopil,48.3842,28.8625,Vinnyts’ka Oblast’
Kubei,Kubei,45.7925,28.7475,Odes’ka Oblast’
Kupiansk,Kupiansk,49.7064,37.6167,Kharkivs’ka Oblast’
Kushnytsia,Kushnytsia,48.4517,23.2581,Zakarpats’ka Oblast’
Kushuhum,Kushuhum,47.7106,35.2192,Zaporiz’ka Oblast’
Kvasyliv,Kvasyliv,50.5569,26.2675,Rivnens’ka Oblast’
Kyiv,Kyiv,50.45,30.5236,"Kyyiv, Misto"
Kyrnasivka,Kyrnasivka,48.5914,28.98,Vinnyts’ka Oblast’
Ladyzhyn,Ladyzhyn,48.6667,29.2167,Vinnyts’ka Oblast’
Lanchyn,Lanchyn,48.5475,24.7517,Ivano-Frankivs’ka Oblast’
Lanivtsi,Lanivtsi,49.8644,26.0782,Ternopil’s’ka Oblast’
Lazurne,Lazurne,46.0772,32.5299,
Lebedyn,Lebedyn,50.5831,34.4823,Sums’ka Oblast’
Letychiv,Letychiv,49.3833,27.6167,Khmel’nyts’ka Oblast’
Lityn,Lityn,49.3255,28.0872,Vinnyts’ka Oblast’
Liubotyn,Liubotyn,49.9489,35.9306,Kharkivs’ka Oblast’
Lokhvytsya,Lokhvytsya,50.361,33.2652,Poltavs’ka Oblast’
Lozova,Lozova,48.8892,36.3161,Kharkivs’ka Oblast’
Lozuvatka,Lozuvatka,48.061,33.2927,Dnipropetrovs’ka Oblast’
Lubny,Lubny,50.0186,32.9869,Poltavs’ka Oblast’
Luch,Luch,46.8273,32.2197,
Luhansk,Luhansk,48.5833,39.3333,Luhans’ka Oblast’
Lukyanivka,Lukyanivka,50.4657,30.4759,
Lutsk,Lutsk,50.7478,25.3244,Volyns’ka Oblast’
Lviv,Lviv,49.8419,24.0315,L’vivs’ka Oblast’
Lyman,Lyman,48.9861,37.8111,Donets’ka Oblast’
Lymanske,Lymanske,46.6639,29.9708,Odes’ka Oblast’
Lypovets,Lypovets,49.2161,29.0561,Vinnyts’ka Oblast’
Lysianka,Lysianka,49.2542,30.8207,Cherkas’ka Oblast’
Lysychansk,Lysychansk,48.9169,38.4306,Luhans’ka Oblast’
Lyubeshiv,Lyubeshiv,51.7631,25.4992,Volyns’ka Oblast’
Lyuboml’,Lyuboml',51.2158,24.0408,Volyns’ka Oblast’
Mahdalynivka,Mahdalynivka,48.9147,34.9154,Dnipropetrovs’ka Oblast’
Makariv,Makariv,50.4667,29.8167,Kyyivs’ka Oblast’
Makiivka,Makiivka,48.0556,37.9611,Donets’ka Oblast’
Mala Danylivka,Mala Danylivka,50.0614,36.1675,Kharkivs’ka Oblast’
Mala Vyska,Mala Vyska,48.65,31.6333,Kirovohrads’ka Oblast’
Malyn,Malyn,50.7689,29.27,Zhytomyrs’ka Oblast’
Manevychi,Manevychi,51.2925,25.5503,Volyns’ka Oblast’
Manhush,Manhush,47.05,37.3,Donets’ka Oblast’
Marhanets,Marhanets,47.648,34.6167,Dnipropetrovs’ka Oblast’
Marinka,Marinka,47.9423,37.504,
Mariupol,Mariupol,47.1306,37.5639,Donets’ka Oblast’
Markivka,Markivka,49.521,39.5621,
Masandra,Masandra,44.5167,34.1833,"Krym, Avtonomna Respublika"
Melitopol,Melitopol,46.8333,35.3667,Zaporiz’ka Oblast’
Mena,Mena,51.5167,32.2167,Chernihivs’ka Oblast’
Merefa,Merefa,49.806,36.0503,
Mezhova,Mezhova,48.2563,36.7313,Dnipropetrovs’ka Oblast’
Mizhhiria,Mizhhiria,48.5286,23.5019,Zakarpats’ka Oblast’
Mohyliv-Podilskyi,Mohyliv-Podilskyi,48.45,27.7833,Vinnyts’ka Oblast’
Molochansk,Molochansk,47.2038,35.5985,Zaporiz’ka Oblast’
Molodohvardiisk,Molodohvardiisk,48.3444,39.6583,Luhans’ka Oblast’
Monastyryshche,Monastyryshche,48.99,29.8011,Cherkas’ka Oblast’
Morshyn,Morshyn,49.155,23.8725,L’vivs’ka Oblast’
Mukacheve,Mukacheve,48.4414,22.7136,Zakarpats’ka Oblast’
Mukachevo,Mukachevo,48.4493,22.7117,
